,Input Parameters,,Output parameter
Sl.No.,Density of Fluid (kg/m3),Bulk Modulus of Fluid (Pa),Sound wave speed in fluid (m/s)
1,8.18E+02,1.98E+09,1449.28
2,1.60E+03,1.87E+09,1010.1
3,1.83E+03,2.12E+09,1002.51
4,1.78E+03,1.72E+09,919.54
5,1.38E+03,1.78E+09,1066.67
6,1.47E+03,1.07E+09,798.4
7,1.87E+03,1.21E+09,753.3
8,1.13E+03,9.70E+08,865.8
9,9.06E+02,1.53E+09,1212.12
10,1.43E+03,1.37E+09,913.24
11,9.15E+02,1.32E+09,1120.45
12,1.42E+03,1.61E+09,995.02
13,5.33E+02,1.17E+09,1374.57
14,1.99E+03,2.21E+09,987.65
15,7.78E+02,2.22E+09,1568.63
16,1.40E+03,1.74E+09,1041.67
17,9.95E+02,9.21E+08,900.9
18,1.57E+03,2.17E+09,1101.93
19,5.03E+02,1.86E+09,1777.78
20,5.63E+02,1.02E+09,1257.86
21,1.89E+03,2.30E+09,1033.59
22,5.95E+02,1.35E+09,1403.51
23,9.72E+02,2.04E+09,1346.8
24,1.27E+03,1.56E+09,1033.59
25,8.40E+02,1.73E+09,1333.33
26,1.30E+03,1.58E+09,1033.59
27,1.66E+03,1.68E+09,938.97
28,1.26E+03,1.16E+09,894.85
29,1.90E+03,1.73E+09,894.85
30,6.87E+02,1.13E+09,1201.2
31,1.10E+03,1.53E+09,1101.93
32,8.92E+02,1.66E+09,1269.84
33,1.38E+03,1.56E+09,995.02
34,5.16E+02,2.07E+09,1904.76
35,5.58E+02,2.29E+09,1932.37
36,9.57E+02,2.26E+09,1433.69
37,6.12E+02,1.95E+09,1666.67
38,7.22E+02,1.20E+09,1201.2
39,1.03E+03,9.70E+08,907.03
40,5.21E+02,1.18E+09,1403.51
41,1.55E+03,1.72E+09,980.39
42,1.45E+03,1.79E+09,1041.67
43,7.28E+02,1.42E+09,1307.19
44,5.56E+02,1.80E+09,1666.67
45,1.09E+03,2.15E+09,1307.19
46,1.17E+03,1.27E+09,973.24
47,7.72E+02,1.32E+09,1223.24
48,1.80E+03,1.09E+09,728.6
49,1.38E+03,1.65E+09,1017.81
50,4.95E+02,2.05E+09,1932.37
51,1.85E+03,1.33E+09,798.4
52,1.16E+03,2.01E+09,1223.24
53,5.49E+02,1.52E+09,1550.39
54,6.24E+02,1.68E+09,1532.57
55,2.00E+03,2.28E+09,1002.51
56,1.79E+03,1.87E+09,952.38
57,1.41E+03,2.26E+09,1179.94
